Mesec,Ripple: (Ves svet)
2004-01,1
2004-02,1
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,< 1
2017-01,< 1
2017-02,< 1
2017-03,1
2017-04,2
2017-05,8
2017-06,7
2017-07,5
2017-08,8
2017-09,7
2017-10,9
2017-11,10
2017-12,83
2018-01,100
2018-02,30
2018-03,16
2018-04,16
2018-05,13
2018-06,10
2018-07,9
2018-08,10
2018-09,14
2018-10,12
2018-11,13
2018-12,10
2019-01,8
2019-02,8
2019-03,7
2019-04,8
2019-05,10
2019-06,11
2019-07,8
2019-08,7
2019-09,6
2019-10,7
2019-11,6
2019-12,6
2020-01,7
2020-02,9
2020-03,7
2020-04,6
2020-05,6
2020-06,5
2020-07,6
2020-08,9
2020-09,6
2020-10,5
2020-11,16
2020-12,27
2021-01,27
2021-02,39
2021-03,17
2021-04,57
2021-05,41
2021-06,17
2021-07,12
2021-08,19
2021-09,15
2021-10,16
2021-11,16
2021-12,14
2022-01,11
2022-02,13
2022-03,11
2022-04,9
2022-05,8
2022-06,7
2022-07,7
2022-08,6
2022-09,10
2022-10,10
2022-11,10
2022-12,7
2023-01,8
2023-02,7
2023-03,12
2023-04,11
2023-05,9
2023-06,13
2023-07,25
2023-08,14
2023-09,10
2023-10,11
2023-11,17
2023-12,15
2024-01,12
2024-02,11
2024-03,18
